"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","feature_rank"
"265","RPLP1",5.59588866300165,1.05854765276332,21.8216396649991,0.000688957657551767,0.000806690928146056,0.106100795755968,0.029683698296837,"PEN_4",158
"266","PDGFA",5.29198108628929,1.08394945039989,21.5845902598163,0.000718373935735259,0.000835843887490711,0.10079575596817,0.0244931062449311,"PEN_4",159
"267","LRRC58",5.44291574986858,1.06088678509657,21.2458801858973,0.000762135345935365,0.000881218993737766,0.106100795755968,0.026926196269262,"PEN_4",160
"268","NUSAP1",5.01601821858934,1.10416208568629,21.1454970591085,0.000776721961967543,0.000892506602260842,0.116710875331565,0.0321167883211679,"PEN_4",161
"269","RAD51AP1",4.99876588211837,1.48764045226667,20.7653279515052,0.000830412743046683,0.000948310848540965,0.10079575596817,0.0176804541768045,"PEN_4",162
"270","MCM8",5.28719169163905,1.31241107787998,20.7004912547754,0.000839816765066419,0.000953166267099923,0.135278514588859,0.0290348742903487,"PEN_4",163
"271","FADS1",5.68396150873483,1.16522098064346,20.6567220645718,0.000846082719860624,0.000954422580330582,0.127320954907162,0.0311435523114355,"PEN_4",164
"272","NUP62",5.49906686467015,1.04896488404765,20.3216520525838,0.000899312465586972,0.00100832003717327,0.111405835543767,0.0314679643146796,"PEN_4",165
"273","PRTFDC1",5.51578135391697,1.08029149285364,20.1101904651576,0.000934650466187932,0.00104162853159498,0.114058355437666,0.0291970802919708,"PEN_4",166
"274","ENO1",6.157957589812,1.07352571626744,19.8902468397635,0.000972658501517777,0.00107749594479514,0.169761273209549,0.043146796431468,"PEN_4",167
"275","SSRP1",5.84209975741322,1.0159105198889,19.4196264224542,0.00106198480050608,0.00115682898535473,0.140583554376658,0.0363341443633414,"PEN_4",168
"276","CCT8",6.02965795427071,1.08312498467252,19.4158568541999,0.00106255447094199,0.00115682898535473,0.148541114058355,0.0397404703974047,"PEN_4",169
"277","MARVELD2",5.33149816959899,1.04088386194502,19.4184309584535,0.00106303204059624,0.00115682898535473,0.103448275862069,0.0256285482562855,"PEN_4",170
"278","PDIA4",6.12711572315544,1.07541596609089,19.0381070897142,0.00114111671768409,0.00123454147819624,0.151193633952255,0.0426601784266018,"PEN_4",171
"279","ZNF281",5.84210353550231,1.01589360590602,18.9939081982891,0.00115101270952165,0.00123800785617154,0.124668435013263,0.0342254663422547,"PEN_4",172
"280","JPT2",5.67129825346102,1.10463387611564,18.8859199242489,0.00117511287608751,0.00125662359581612,0.124668435013263,0.0314679643146796,"PEN_4",173
"281","RPS14",5.29198074022616,1.08393012127312,18.4422421420429,0.00128085174554262,0.00136182513175508,0.103448275862069,0.0246553122465531,"PEN_4",174
"282","NCAPD2",5.58081302753179,1.11587063785819,18.2989617961909,0.0013163919193261,0.00139161431471616,0.114058355437666,0.0283860502838605,"PEN_4",175
"283","BIRC2",5.3786225870534,1.08161311471777,17.136616761283,0.00166062435437892,0.00173616928747027,0.103448275862069,0.0254663422546634,"PEN_4",176
"284","FZD7",5.84714083901477,1.07272888627346,17.1324657701327,0.00166109169666074,0.00173616928747027,0.122015915119363,0.0339010543390105,"PEN_4",177
"285","TTI1",5.43275038759829,1.03187157413485,16.8292528338033,0.0017686347619347,0.00183818781437033,0.106100795755968,0.027088402270884,"PEN_4",178
"286","STK25",5.66394609456086,1.06117441365623,16.538344966294,0.00187802450224336,0.001940975044218,0.127320954907162,0.0319545823195458,"PEN_4",179
"287","ZNF703",5.28534152105467,1.2283639549778,15.4025259805817,0.00239404532482293,0.00246054658384578,0.108753315649867,0.0227088402270884,"PEN_4",180
"288","AL135905.2",4.65602170117311,1.02571205994249,12.2800118680872,0.00497858760305816,0.00508861163848486,0.108753315649867,0.0295214922952149,"PEN_4",181
"289","FP671120.7",4.08296559047888,1.10674295701044,11.1843558606507,0.00662960742058651,0.006738886663783,0.143236074270557,0.0369829683698297,"PEN_4",182
"290","FP671120.6",4.09911998576065,1.08353516937171,10.8849255893416,0.00717817776291018,0.00717817776291018,0.143236074270557,0.0374695863746959,"PEN_4",183
"291","FP236383.4",4.09911998576065,1.08353516937171,10.8849255893416,0.00717817776291018,0.00717817776291018,0.143236074270557,0.0374695863746959,"PEN_4",184
"292","FP236383.5",4.09911998576065,1.08353516937171,10.8849255893416,0.00717817776291018,0.00717817776291018,0.143236074270557,0.0374695863746959,"PEN_4",185
"293","DTNA",7.6371733941518,3.55646797485229,614.392579048589,3.61892803633386e-10,2.08509343998445e-08,0.720930232558139,0.0829564946203025,"NPP_PDE3A+",1
"294","PDE3A",7.66242917256561,3.86776959638943,582.375561200996,4.6856032359201e-10,2.08509343998445e-08,0.604651162790698,0.072041166380789,"NPP_PDE3A+",2
"295","LPP",10.1750559429884,1.40399523858217,295.252192627864,1.21645142061205e-08,3.60880588114908e-07,0.767441860465116,0.435989396538282,"NPP_PDE3A+",3
"296","AC044810.3",4.00676694153111,5.31515825921369,243.33428408069,3.10930813428715e-08,6.91821059878891e-07,0.248062015503876,0.00842039607048183,"NPP_PDE3A+",4
"297","DIAPH3",7.94664638658286,2.26959631190821,183.054953545853,1.15984546450101e-07,2.0645249268118e-06,0.457364341085271,0.112427880866989,"NPP_PDE3A+",5
"298","FLNB",7.5399653977759,1.85713808777398,160.688674154102,2.12865166308971e-07,2.84293421884564e-06,0.465116279069767,0.109621082176828,"NPP_PDE3A+",6
"299","AC016766.1",5.11966659063726,4.18041490765471,159.051342120115,2.23601567774376e-07,2.84293421884564e-06,0.13953488372093,0.0173085919226571,"NPP_PDE3A+",7
"300","PHLPP1",7.95597190851478,1.64880445345033,125.832452038945,6.56967805848232e-07,7.30876684006158e-06,0.472868217054264,0.144550132543271,"NPP_PDE3A+",8
"301","NEAT1",8.31268465620203,1.85019332714323,121.812512632083,7.61935058173392e-07,7.53469113082577e-06,0.550387596899225,0.165912989240605,"NPP_PDE3A+",9
"302","MYO9A",8.40979574283984,1.57943341411663,117.15173237737,9.10307254884187e-07,7.88606044533671e-06,0.581395348837209,0.184469047247778,"NPP_PDE3A+",10
"303","SLC4A4",8.06134117846319,1.83875930905109,115.406540737186,9.74681628075324e-07,7.88606044533671e-06,0.488372093023256,0.124434741930454,"NPP_PDE3A+",11
"304","NRG1",6.57055369028044,2.30691622029718,106.237607132586,1.41996560284946e-06,1.05314115544668e-05,0.348837209302326,0.0594105722750663,"NPP_PDE3A+",12
"305","MYOF",7.33860843994655,2.09748788387511,104.1747823016,1.55039616555568e-06,1.06142506718812e-05,0.465116279069767,0.0957430219865897,"NPP_PDE3A+",13
"306","SAMD4A",4.63926422592999,3.38736443491987,97.5915494051953,2.09724404777927e-06,1.33324800180254e-05,0.162790697674419,0.0134102604085451,"NPP_PDE3A+",14
"307","TANC1",6.57762625296015,2.28621769096189,89.9744031415493,2.99407051158294e-06,1.73761110510859e-05,0.317829457364341,0.057695306408857,"NPP_PDE3A+",15
"308","CDH6",7.31641063378112,1.83040703289994,89.1125876018905,3.12379524513904e-06,1.73761110510859e-05,0.387596899224806,0.0884141587400593,"NPP_PDE3A+",16
"309","ANKRD1",4.05040712665429,4.20945471298837,83.9744587826691,4.11508013053563e-06,2.04944306040479e-05,0.162790697674419,0.00639326368314361,"NPP_PDE3A+",17
"310","TTN",9.04468391939489,1.0800605676901,83.6060321293578,4.14494102104339e-06,2.04944306040479e-05,0.534883720930233,0.243567753001715,"NPP_PDE3A+",18
"311","AC044810.2",3.5625060603957,4.01210981226718,70.3560616022031,9.19765656621265e-06,4.30837597048908e-05,0.186046511627907,0.00810852954935288,"NPP_PDE3A+",19
"312","CALD1",8.3136775222652,1.67733935467032,66.7057493483272,1.11406322170199e-05,4.95758133657385e-05,0.542635658914729,0.169187587712459,"NPP_PDE3A+",20
"313","PLCE1",6.03511968269802,2.15323199419973,64.9932308867685,1.24960029369018e-05,5.29592505421075e-05,0.232558139534884,0.0421019803524092,"NPP_PDE3A+",21
"314","DNAJC15",8.57938199599145,1.1282491486067,58.2132624271887,1.99788597521228e-05,8.06755962827294e-05,0.573643410852713,0.202089505691564,"NPP_PDE3A+",22
"315","SLC20A2",7.02837454876143,1.38661825326717,57.6488896990332,2.08487496011548e-05,8.06755962827294e-05,0.271317829457364,0.0829564946203025,"NPP_PDE3A+",23
"316","LIFR",6.86371010643769,1.40498888708817,53.1646972690964,2.93596419627668e-05,0.00010887533894526,0.263565891472868,0.0728208326836114,"NPP_PDE3A+",24
"317","ANXA3",7.19364765348481,1.42858606372981,52.1970882582758,3.16865094395702e-05,0.00011280397360487,0.317829457364341,0.0856073600498986,"NPP_PDE3A+",25
"318","MCU",7.6886308556881,1.1289728646549,50.9700178716372,3.49900183510091e-05,0.000119773524355377,0.37984496124031,0.12568220801497,"NPP_PDE3A+",26
"319","CCSER1",6.80721173595062,1.63282561743128,50.0697621636762,3.77145023612145e-05,0.000124033183702459,0.317829457364341,0.0707937002962732,"NPP_PDE3A+",27
"320","MAP4",7.955788194558,1.27605854281816,49.5444097845356,3.93681236314427e-05,0.000124033183702459,0.449612403100775,0.149539996881335,"NPP_PDE3A+",28
"321","CCDC141",7.00508013478484,1.57632707612889,49.2403657063921,4.04153070491159e-05,0.000124033183702459,0.302325581395349,0.0767191641977234,"NPP_PDE3A+",29
"322","LINC00278",5.12239150573637,2.69137979346907,47.2743010197345,4.80588055275775e-05,0.00014257445639848,0.13953488372093,0.0202713238733822,"NPP_PDE3A+",30
"323","WWC2",8.68415947615281,1.01451704475107,44.5859620712231,6.08047471466969e-05,0.000169435505513004,0.51937984496124,0.203648838297209,"NPP_PDE3A+",31
