"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"195","FP236383.3",14.1406230870959,-0.512683345343308,58.5652932317398,1.9855515399458e-14,5.7183884350439e-11,0.991869918699187,1,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"196","MAGI1",11.1088412923979,0.953669294245329,54.7810985147109,1.3587119542106e-13,3.47830260277912e-10,0.639566395663957,0.37874659400545,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"197","MT-ND2",9.61356079487945,-1.42075587732179,52.0006300467853,5.59067862167692e-13,1.28809235443436e-09,0.178861788617886,0.346049046321526,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"198","WWOX",10.9283992208435,0.880604809809379,42.4937451119799,7.12729625184817e-11,1.49284459675074e-07,0.577235772357724,0.346049046321526,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"199","CNTNAP2",10.2150014716112,-1.03566492474189,41.8116226493057,1.01004491611994e-10,1.93928623895028e-07,0.262872628726287,0.365122615803815,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"200","MT-ND1",9.94903507582798,-1.128091903375,41.6417925240136,1.1016598481043e-10,1.95248022310177e-07,0.222222222222222,0.389645776566757,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"201","MT-CO3",10.1272338357197,-0.950658307291837,33.4785111107896,7.22880418645566e-09,1.18965463182813e-05,0.273712737127371,0.419618528610354,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"202","MT-CO1",11.1756043028671,-0.659597064603574,30.2310408694009,3.84535959414062e-08,5.90647233659999e-05,0.506775067750677,0.643051771117166,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"203","GPC3",9.93047181803595,1.02194194834473,30.0515894808031,4.21803091364808e-08,6.07396451565324e-05,0.360433604336043,0.190735694822888,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"204","SLC4A4",7.64586702244824,2.78661271476846,29.1580967322183,6.68708172727836e-08,9.0629625292055e-05,0.124661246612466,0.0136239782016349,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"205","TCF7L2",9.69894391266971,1.04391841830173,26.8173055589568,2.24094506036277e-07,0.000286840967726435,0.360433604336043,0.160762942779292,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
